direccion,latitud,longitud,distrito,tipo_contenedor
"Av. San Felipe 384, Jesús María 15072, Peru",-12.083249969371725,-77.05513874733731,JESUS MARIA,Soterrado
"Jirón Lloque Yupanqui 1084, Jesús María 15072, Peru",-12.072521100181152,-77.04604170584659,JESUS MARIA,Superficial
"WW7W+MH2, Av. Gregorio Escobedo, Jesús María 15076, Peru",-12.086155008998707,-77.05377140676312,JESUS MARIA,RAEE
"Av. Francisco Javier Mariátegui 1574, Jesús María 15072, Peru",-12.077990374421978,-77.05278888407008,JESUS MARIA,Reciclaje
"WW7Q+6Q7, Jesús María 15076, Peru",-12.086793703416149,-77.06096868387655,JESUS MARIA,RAEE
"Jirón Caracas 2374, Jesús María 15072, Peru",-12.084618036175147,-77.05666415303831,JESUS MARIA,Reciclaje
"Av. Húsares de Junín 100, Jesús María 15072, Peru",-12.07516009145404,-77.05348608997804,JESUS MARIA,Reciclaje
"Pje. Santiago 2219, Jesús María 15072, Peru",-12.082104734499636,-77.0570845335408,JESUS MARIA,Aceite usado
"Av. Brasil 1843, Jesús María 15072, Peru",-12.077890766931269,-77.05521361277502,JESUS MARIA,Superficial
"Av. Gregorio Escobedo 680, Jesús María 15076, Peru",-12.086172139823526,-77.0546111355155,JESUS MARIA,RAEE
"WXF5+C3F, Jesús María 15072, Peru",-12.076583320873432,-77.04231079741382,JESUS MARIA,Soterrado
"Los Claveles, Av. Eduardo Avaroa, Lima 15076, Peru",-12.089552611228545,-77.05433606085442,JESUS MARIA,Superficial
"WX94+WW8, Av. Gral. Felipe Salaverry, Jesús María 15072, Peru",-12.080498542013556,-77.04259614839411,JESUS MARIA,Reciclaje
"WXJ5+F9 Jesús María, Peru",-12.068837485744703,-77.04151111209761,JESUS MARIA,Soterrado
"Jirón Cahuide 758, Jesús María 15074, Peru",-12.078655315913563,-77.04296294895991,JESUS MARIA,Aceite usado
"Av. Gral. Felipe Salaverry 1157, Jesús María 15072, Peru",-12.077384899362714,-77.0409480327635,JESUS MARIA,Aceite usado
"Av. Gral. Felipe Salaverry 850, Jesús María 15072, Peru",-12.073292510378394,-77.04267898834524,JESUS MARIA,Superficial
"WW6V+G99, Jesús María 15076, Peru",-12.08901340650804,-77.05645605316997,JESUS MARIA,Reciclaje
"Av. Cayetano Heredia 654, Jesús María 15072, Peru",-12.08074855748461,-77.05079455120736,JESUS MARIA,Reciclaje
"Av. San Felipe 298, Jesús María 15072, Peru",-12.08223294405557,-77.05672558119628,JESUS MARIA,Soterrado
"Jr. Luis N. Saenz 403, Jesús María 15072, Peru",-12.081294908097002,-77.05560638163301,JESUS MARIA,Reciclaje
"Jirón Ramón Dagnino 364, Jesús María 15072, Peru",-12.071747152136751,-77.03939735938562,JESUS MARIA,Soterrado
"Jirón Geronimo de Aliaga 402, Jesús María 15072, Peru",-12.085325365459516,-77.05925176129331,JESUS MARIA,Superficial
"Jirón Costa Rica 137, Jesús María 15072, Peru",-12.084618132762431,-77.05333447557899,JESUS MARIA,RAEE
"Jirón Pachacútec 1610, Jesús María 15072, Peru",-12.078150274150778,-77.04565101285782,JESUS MARIA,RAEE
"Jirón los Mogaburos 270, Jesús María 15072, Peru",-12.067052643772374,-77.04368876971263,JESUS MARIA,Superficial
"Av. Gregorio Escobedo 783, Jesús María 15076, Peru",-12.087653154230884,-77.05466782628554,JESUS MARIA,Reciclaje
"Av. Gral. Juan Antonio Álvarez de Arenales 1256, Jesús María 15072, Peru",-12.07723219865898,-77.03789192518188,JESUS MARIA,Soterrado
"Jr. Huáscar 1174, Jesús María 15072, Peru",-12.073441807643064,-77.04709794767075,JESUS MARIA,Superficial
"Calle Caracas 2376, Jesús María 15072, Peru",-12.084836421785663,-77.05656027805819,JESUS MARIA,Superficial
"Av. General Felipe Salaverry N° 2370 Esq. Con Av. Punta del Este N° 2403-2490 Td, Jesús María 15076, Peru",-12.090342015330226,-77.05468899405284,JESUS MARIA,Soterrado
"Jirón Luis Sánchez Cerro 2015, Jesús María 15072, Peru",-12.08219706159129,-77.04861870939402,JESUS MARIA,Soterrado
"Av. Talara 157, Jesús María 15072, Peru",-12.068386780949648,-77.04733531558303,JESUS MARIA,RAEE
"Jr. Sinchi Roca 208, Jesús María 15072, Peru",-12.066391796479046,-77.0442878511053,JESUS MARIA,Superficial
"WXJ4+9HP, Av. de la Peruanidad, Jesús María 15072, Peru",-12.069249038626094,-77.0438808265452,JESUS MARIA,Superficial
"Av. Gral. Eugenio Garzón 1464, Jesús María 15072, Peru",-12.074543871335576,-77.05168062418079,JESUS MARIA,Superficial
"Jr. Estados Unidos 1274, Jesús María 15076, Peru",-12.088711235342268,-77.05857726631132,JESUS MARIA,Aceite usado
"15076, Jesús María 15076, Peru",-12.08988995552508,-77.05492354257383,JESUS MARIA,Reciclaje
"Av. San Felipe 950, Jesús María 15072, Peru",-12.081881532931757,-77.04821169325639,JESUS MARIA,Superficial
"Jirón Nazca 340, Jesús María 15072, Peru",-12.069298322274792,-77.04535674820973,JESUS MARIA,Reciclaje
"Pje. Páez 130, Jesús María 15072, Peru",-12.0857638196877,-77.05836522313876,JESUS MARIA,Superficial
"Jirón Rio de Janeiro 406, Jesús María 15072, Peru",-12.083925113673398,-77.05575281191959,JESUS MARIA,Superficial
"V7GG+7R Pachacamac, Peru",-12.12431608323648,-76.72288637737903,PACHACAMAC,Soterrado
"V593+P5 Pachacamac, Peru",-12.130699260830855,-76.84707252451997,PACHACAMAC,Reciclaje
"R4JQ+HP Pachacamac, Peru",-12.168592087915282,-76.86070669776586,PACHACAMAC,Soterrado
"V47M+9W9, Pachacamac 15594, Peru",-12.136390737920406,-76.86636933411215,PACHACAMAC,Soterrado
"V7CV+4P Pachacamac, Peru",-12.129695887019372,-76.70565057924266,PACHACAMAC,Superficial
"R5Q5+48 Pachacamac, Peru",-12.162239158641151,-76.8416763737564,PACHACAMAC,Reciclaje
"V7CM+J3 Pachacamac, Peru",-12.128463997905916,-76.71730088864503,PACHACAMAC,Soterrado
"V4PP+VM6, Pachacamac 15594, Peru",-12.112824880175442,-76.86382626013614,PACHACAMAC,Reciclaje
"R7XH+W7 Pachacamac, Peru",-12.150225693537337,-76.72180585413611,PACHACAMAC,Superficial
"V7FC+9G Pachacamac, Peru",-12.126548315234189,-76.72870159880733,PACHACAMAC,Reciclaje
"R5HR+79 Pachacamac, Peru",-12.171848447654082,-76.80908863988596,PACHACAMAC,Soterrado
"Calle Manzano 7, Pachacamac 15823, Peru",-12.211083456784047,-76.83747629202055,PACHACAMAC,Aceite usado
"Calle 10 247, Pachacamac 15823, Peru",-12.202555806054598,-76.85854447483172,PACHACAMAC,Superficial
"R4QM+JX, Pachacamac 15593, Peru",-12.161618926512796,-76.86402377774391,PACHACAMAC,Aceite usado
"R6GX+68 Lurin, Peru",-12.174424377109396,-76.75162615997698,PACHACAMAC,RAEE
"R4CC+GH Pachacamac, Peru",-12.178694889170234,-76.87860257523013,PACHACAMAC,Superficial
"Av. Paul Poblet 311, Pachacamac 15593, Peru",-12.155040046559066,-76.84924824684633,PACHACAMAC,Soterrado
"R69P+5Q Lurin, Peru",-12.182071589666648,-76.76305729614549,PACHACAMAC,Soterrado
"Jr. Río Piura 286, Lima 15021, Peru",-12.07549791545792,-77.00319078440552,SAN LUIS,Aceite usado
"San Ignacio 470, Lima 15021, Peru",-12.081162429497745,-76.9921639468762,SAN LUIS,Soterrado
"Pje. La Viña 122, San Luis 15021, Peru",-12.076807934895731,-76.99854673114949,SAN LUIS,Soterrado
"Francisco Vidal De Laos 787, San Luis 15021, Peru",-12.07054769359611,-76.99593888900692,SAN LUIS,Superficial
"Av. Nicolás Arriola 1678, San Luis 15021, Peru",-12.074182280941471,-77.00634495305826,SAN LUIS,Reciclaje
"Av. Canadá 3746, Lima 15021, Peru",-12.079993170941822,-76.99154227591032,SAN LUIS,Reciclaje
"Av. Circunvalación 1821, San Luis 15022, Peru",-12.070827944490128,-76.99392732574393,SAN LUIS,Aceite usado
"C, WXFR+GQ9, San Luis 15021, Peru",-12.076049060907742,-77.00796966284878,SAN LUIS,RAEE
"Las Violetas 186, San Luis 15021, Peru",-12.07909500771509,-76.99231701342961,SAN LUIS,Aceite usado
"Av del Aire 805, San Luis 15021, Peru",-12.081246897988835,-77.00430189354584,SAN LUIS,Reciclaje
"Martir Jose Olaya 159, San Luis 15022, Peru",-12.065145095040458,-76.98818164836779,SAN LUIS,Soterrado
"Augusto Durand 2485, San Luis 15021, Peru",-12.069716649870127,-76.99777693967854,SAN LUIS,Soterrado
"Rio Huancabamba 384, San Luis 15021, Peru",-12.076839911838324,-77.00085700012691,SAN LUIS,Superficial
"WXCR+J7W, Mateo Silva, San Luis 15021, Peru",-12.078393718733023,-77.00932599222675,SAN LUIS,Soterrado
"Jirón Mayor José Urdanivia 565, Lima 15021, Peru",-12.08149673589482,-76.9910444615388,SAN LUIS,RAEE
"Av del Aire 1015, San Luis 15021, Peru",-12.08018729556674,-77.00066355661097,SAN LUIS,RAEE
"Av. Circunvalación 1820, San Luis 15021, Peru",-12.071211461118155,-76.99461911916035,SAN LUIS,RAEE
"Av. Circunvalación 1625, San Luis 15021, Peru",-12.069438961142955,-76.99462505739781,SAN LUIS,Reciclaje
"El Portal 115, Lima 15026, Peru",-12.073488361024594,-76.88338339006191,LA MOLINA,Superficial
"W444+9C La Molina, Peru",-12.094016495423892,-76.8938865143534,LA MOLINA,Reciclaje
"C. Cristobal Colon 186, La Molina 15012, Peru",-12.067452344141875,-76.94724708583772,LA MOLINA,Reciclaje
"V3PR+9C La Molina, Peru",-12.114079714569517,-76.9089039321659,LA MOLINA,Soterrado
"Las Delicias 171, Cercado de Lima 15026, Peru",-12.089071058911994,-76.89866477765763,LA MOLINA,Aceite usado
"Alam.Jose Leon Barandiaran 310, Lima 15026, Peru",-12.07148297699036,-76.91132962608664,LA MOLINA,Aceite usado
"Islas Virgenes 148, La Molina 15026, Peru",-12.073274336387485,-76.91932552574926,LA MOLINA,RAEE
"Estructurales 144, La Molina 15012, Peru",-12.06467583642322,-76.95201089220068,LA MOLINA,Soterrado
"W37J+R9Q, La Molina 15026, Peru",-12.08618315876868,-76.91867627392958,LA MOLINA,Superficial
"Las Torcazas 1214, Lima 15026, Peru",-12.095083114040206,-76.93617205440194,LA MOLINA,Superficial
"la molina 1501, La Molina 15026, Peru",-12.083038441888144,-76.93278642560689,LA MOLINA,RAEE
"Av. La Molina, cdra. 37 Urb, La Molina 15026, Peru",-12.086854122689411,-76.90886318182747,LA MOLINA,Soterrado
"W35P+R5 La Molina, Peru",-12.090392711192298,-76.91451465377612,LA MOLINA,Reciclaje
"W4H7+79 Pachacamac, Peru",-12.071869127178218,-76.88659784996582,LA MOLINA,Superficial
"Jr. la Verbena 243, Lima 15012, Peru",-12.065330336410645,-76.95659985432567,LA MOLINA,RAEE
"W4R2+9P Cerro Candela ️, Ate 15491, Peru",-12.05969599455661,-76.89723746144385,LA MOLINA,Soterrado
"W33V+HF La Molina, Peru",-12.096101571283825,-76.90629258147085,LA MOLINA,Soterrado
"Juana Alarco de Dammert 160, La Molina 15012, Peru",-12.062995635481412,-76.94238438049541,LA MOLINA,Reciclaje
"9WCP+PQ Ancón, Peru",-11.628131429059511,-77.06306564282934,ANCON,Reciclaje
"5VM6+97W, Ancón 07076, Peru",-11.816462152260996,-77.13963852678486,ANCON,Soterrado
"9V2F+JG Ancón, Peru",-11.648385451814628,-77.1262171615113,ANCON,Aceite usado
"7VJF+QV Ancón, Peru",-11.718026472141808,-77.12531379099609,ANCON,Aceite usado
"8XW5+RH Ancón, Peru",-11.652926362031602,-77.04111780770998,ANCON,Superficial
"5VXX+VC Ancón, Peru",-11.800276216177526,-77.10141433205636,ANCON,RAEE
"8VJR+69 Ancón, Peru",-11.669460262244865,-77.10908217068355,ANCON,RAEE
"7WH5+GW Ancón, Peru",-11.72123595156738,-77.0901692639629,ANCON,Aceite usado
"7VWG+66 Ancón, Peru",-11.704441002173096,-77.1244979288923,ANCON,Reciclaje
"7VVX+X3 Ancón, Peru",-11.70505451546219,-77.102324516176,ANCON,Aceite usado
"7X87+6W Ancón, Peru",-11.734388318541187,-77.03520992958516,ANCON,Aceite usado
"6WX5+JJ Ancón, Peru",-11.750897957321618,-77.09094692960142,ANCON,Aceite usado
"6V8Q+C4 Ancón, Peru",-11.78398995962164,-77.11217778319309,ANCON,Soterrado
"6WJG+X4 Ancón, Peru",-11.767504291579996,-77.07472839608054,ANCON,Soterrado
"8X85+P2 Ancón, Peru",-11.68314710896296,-77.04246504345383,ANCON,Aceite usado
"6VXX+R8 Ancón, Peru",-11.750482682087572,-77.10165460767644,ANCON,Reciclaje
"9V4G+22 Ancón, Peru",-11.644891544005691,-77.12492805780961,ANCON,Aceite usado
"9W76+74 Ancón, Peru",-11.636859009775296,-77.08974809163014,ANCON,RAEE
"Av. Villa del Mar 29, Villa EL Salvador 15842, Peru",-12.213939894245428,-76.96146086610558,VILLA EL SALVADOR,RAEE
"Q2CH+3V4, Barlovento, Villa EL Salvador 15842, Peru",-12.22935955873753,-76.96998769631648,VILLA EL SALVADOR,Superficial
"R24P+4CG, Av. Forestales, Cercado de Lima 15842, Peru",-12.19490344359113,-76.96418863939012,VILLA EL SALVADOR,Soterrado
"Av. Pachacútec 5896, Villa María del Triunfo 15816, Peru",-12.19974011830255,-76.93207265766769,VILLA EL SALVADOR,Superficial
"Q2JP+G7R, Villa el Salvador 15842, Peru",-12.218930761005902,-76.96398805986034,VILLA EL SALVADOR,Superficial
"Q3H8+JGJ, Lima 15834, Peru",-12.22099115122445,-76.93365307769098,VILLA EL SALVADOR,Reciclaje
"Ctra. Panamericana Sur 21, Lurín 15842, Peru",-12.23478805101289,-76.96176962113542,VILLA EL SALVADOR,Reciclaje
"Q25W+WPV, Lima 15842, Peru",-12.23944818684295,-76.95289818268716,VILLA EL SALVADOR,Aceite usado
"Q3CF+FPF, Villa el Salvador 15836, Peru",-12.228967920332002,-76.92574963732721,VILLA EL SALVADOR,Aceite usado
"Antigua Panamericana Sur 23, Villa EL Salvador 15842, Peru",-12.238540503377294,-76.95086355971878,VILLA EL SALVADOR,Soterrado
"Av. Juan Velasco Alvarado 481, Villa EL Salvador 15831, Peru",-12.206242413917304,-76.9359671114472,VILLA EL SALVADOR,Soterrado
"Av. 1ro de Mayo 487, Villa EL Salvador 15828, Peru",-12.191623969662622,-76.94492093121293,VILLA EL SALVADOR,Soterrado
"Q3MC+P6R, Villa el Salvador 15829, Peru",-12.215247820763842,-76.93005889454555,VILLA EL SALVADOR,Reciclaje
"Q2CV+P62, Lima 15842, Peru",-12.227708573559813,-76.95734378437547,VILLA EL SALVADOR,Reciclaje
"lote 1,2, Pasadena Mz E, Villa EL Salvador 15842, Peru",-12.204930152389148,-76.97107649947449,VILLA EL SALVADOR,Reciclaje
"Q28P+GG Villa el Salvador, Peru",-12.23373745338446,-76.9636650177025,VILLA EL SALVADOR,Aceite usado
"Q3HH+RC8, Villa el Salvador 15836, Peru",-12.220412393684324,-76.92160654352752,VILLA EL SALVADOR,Soterrado
"Av. Revolucion 1-A, Lima 15834, Peru",-12.21543344698065,-76.9362648900864,VILLA EL SALVADOR,Aceite usado
"Jirón Camino Real 557, Distrito de Lima 15063, Peru",-12.15276136465648,-77.01251660347546,SANTIAGO DE SURCO,Superficial
"Jirón Galeano 153, Santiago de Surco 15038, Peru",-12.127811673599568,-76.99855468768416,SANTIAGO DE SURCO,RAEE
"Los Poetas 145, Santiago de Surco 15023, Peru",-12.104175921561533,-76.9585291094976,SANTIAGO DE SURCO,RAEE
"Jr. La Conquista 261, Santiago de Surco 15023, Peru",-12.100535692146044,-76.9744840004441,SANTIAGO DE SURCO,Reciclaje
"Los Tamarindos 12, Lima 15048, Peru",-12.134558440308547,-76.99889504548517,SANTIAGO DE SURCO,RAEE
"R2W2+VJ Santiago de Surco, Peru",-12.152871701670287,-76.99847785089116,SANTIAGO DE SURCO,Soterrado
"Av. El Derby 575, Santiago de Surco 15023, Peru",-12.099081106968384,-76.97864865274813,SANTIAGO DE SURCO,Superficial
"Colegio Champagnat - Maristas Surco, Av. Paseo de la República 7931, Santiago de Surco 15049, Peru",-12.143904206829392,-76.99907128699698,SANTIAGO DE SURCO,RAEE
"Ca. Pinerolo 147, Santiago de Surco 15023, Peru",-12.094858801487856,-76.96691377769648,SANTIAGO DE SURCO,RAEE
"AV latinoamerica Mz.A lt.12 v.m.t Municipalidad Metropolitana de Lima, Santiago de Surco 15023, Peru",-12.098514215926532,-76.96197250289669,SANTIAGO DE SURCO,Superficial
"RXRX+P9 Santiago de Surco, Peru",-12.158237206804513,-77.0015756665909,SANTIAGO DE SURCO,Soterrado
"Jirón Batalla de Ayacucho 163, Lima 15049, Peru",-12.146348279650178,-77.0048949131842,SANTIAGO DE SURCO,Superficial
"C. Capitan Elias Aguirre 166, Santiago de Surco 15049, Peru",-12.143706921880035,-77.0046147408447,SANTIAGO DE SURCO,RAEE
"Las Dalias 118, La Molina 15024, Peru",-12.090947764073514,-76.9604023078442,SANTIAGO DE SURCO,Superficial
"Jirón Las Colinas 208, Santiago de Surco 15023, Peru",-12.115468109543158,-76.96644655409806,SANTIAGO DE SURCO,RAEE
"Jirón Arturo Garcia Salazar 319, Santiago de Surco 15038, Peru",-12.127250484425527,-76.99471428465937,SANTIAGO DE SURCO,Reciclaje
"Jr. Santo Cristo 710, Santiago de Surco 15049, Peru",-12.147645560564944,-77.0018263113146,SANTIAGO DE SURCO,Superficial
"Jirón Jacarandá 355, Santiago de Surco 15023, Peru",-12.120375787953217,-76.97476745764885,SANTIAGO DE SURCO,Aceite usado
"X34Q+R5 Ate, Peru",-12.042894649913348,-76.91202287414761,ATE,Aceite usado
"X5MQ+JPF, Ate 15483, Peru",-12.015798525042444,-76.81064593177655,ATE,Reciclaje
"X4QG+GJ3, Ate 15487, Peru",-12.011192357003088,-76.87321785961717,ATE,Aceite usado
"X5XR+MQ Ate, Peru",-12.00086098519652,-76.80812088997364,ATE,Aceite usado
"X43F+JC Ate, Peru",-12.045954132602189,-76.87641734054075,ATE,Aceite usado
"W4X2+G9 Ate, Peru",-12.051167885328852,-76.8991187556091,ATE,Superficial
"X44F+R7 Ate, Peru",-12.04296144812493,-76.87683992999064,ATE,Aceite usado
"X5VQ+23 Ate, Peru",-12.00740475367978,-76.81236180759782,ATE,Aceite usado
"X56P+Q2 Ate, Peru",-12.038028325347884,-76.81499508979283,ATE,Superficial
"2536+RX Ate, Peru",-11.99539560832544,-76.83761871071313,ATE,Reciclaje
"X4GF+337, Ate 15487, Peru",-12.025363443091724,-76.87730786249986,ATE,Soterrado
"C. Los Naranjos 191, Lima 15491, Peru",-12.02753571144528,-76.90976966143737,ATE,Reciclaje
"Av. Javier Prado Este 7242, Ate 15026, Peru",-12.062027080549132,-76.93793980950328,ATE,Aceite usado
"X5H5+M6 Ate, Peru",-12.02085746316912,-76.84198925610119,ATE,RAEE
"Av. Hermes 175, Ate 15022, Peru",-12.07124605851841,-76.97506921236669,ATE,Reciclaje
"X48V+H4 Ate, Peru",-12.033564875077625,-76.8571345244709,ATE,Aceite usado
"W2Q7+55V, Pje. Cuatro, El Agustino 15022, Peru",-12.061942846751698,-76.98699386146474,ATE,RAEE
"L1, Ate 15476, Peru",-11.99828524098057,-76.831589789481,ATE,Reciclaje
"Jirón Vigil 198, Callao 07021, Peru",-12.06083281916336,-77.13415978609527,CALLAO,Soterrado
"XVJP+V3 Callao, Peru",-12.017873810940442,-77.1147832611484,CALLAO,RAEE
"La Mar 357, Callao 07021, Peru",-12.060779181209467,-77.14741094654794,CALLAO,Soterrado
"07031, Callao 07031, Peru",-11.995979969841674,-77.12518656506263,CALLAO,Soterrado
"Guadalupe 515, Callao 07021, Peru",-12.047683955886589,-77.14045650691004,CALLAO,Reciclaje
"XVGC+GHG, Callao 07031, Peru",-12.022862494815437,-77.12812671306864,CALLAO,Soterrado
"2VW9+42W, Callao 07046, Peru",-11.955058234855542,-77.13170799792742,CALLAO,Soterrado
"Av. Oquendo 8682, Callao 07046, Peru",-11.970816258961408,-77.12874572760263,CALLAO,Reciclaje
"XV8P+PHX, Av. Morales Duárez, Callao 07031, Peru",-12.032121063690276,-77.11340452997185,CALLAO,Soterrado
"Av Contralmirante Mora 1102, Callao 07021, Peru",-12.038951062869453,-77.1404350310417,CALLAO,Aceite usado
"XVQJ+2C Callao, Peru",-12.012490727392596,-77.11888994454426,CALLAO,Superficial
"2VMH+Q68, Callao 07031, Peru",-11.965214564861377,-77.12138144041045,CALLAO,Soterrado
"3V2F+7J5, Callao 07046, Peru",-11.949599064187897,-77.12560675655705,CALLAO,Aceite usado
"XVVF+6RC, Callao 07031, Peru",-12.008180745550831,-77.12521016117867,CALLAO,Aceite usado
"XWQ4+3G2, Auxiliar Avenida Tomás Valle, Callao 07036, Peru",-12.012518862675927,-77.09359145926312,CALLAO,Reciclaje
"XV5H+XQW, Av. Vicente Morales Duarez, Callao 07026, Peru",-12.038847986725964,-77.12063719495073,CALLAO,Reciclaje
"2VH9+5WR, Callao 07046, Peru",-11.972751094119683,-77.13008557082316,CALLAO,Reciclaje
"Mz C Lote 24, Hawai 200 Millas, Callao 07031, Peru",-12.037092744137382,-77.10118352367881,CALLAO,Soterrado
"XV66+QRC, Av Juan Fanning, Callao 07021, Peru",-12.037499692156455,-77.13875992834484,CALLAO,Aceite usado
"Paraíso oquendo calle punta sal, Callao 07031, Peru",-11.983833300528357,-77.12372504524902,CALLAO,Superficial
"3V37+RG8, 25C, Callao 07046, Peru",-11.94556182412857,-77.13663751879314,CALLAO,Soterrado
"3V27+XQ Callao, Peru",-11.947599794984468,-77.13554775847304,CALLAO,Superficial
"2VWF+VX, Callao 07046, Peru",-11.95396639970633,-77.12512450543974,CALLAO,Reciclaje
"Misionero Abad 244, Callao 07036, Peru",-12.012936576235903,-77.10060630881289,CALLAO,RAEE
